       5.440000       1.104739       0.900948       1.675484
       5.450000       1.090636       0.906488       1.676962
       5.460000       1.074897       0.913421       1.678415
       5.470000       1.058714       0.920804       1.679882
       5.480000       1.043410       0.928124       1.681424
       5.490000       1.029840       0.935179       1.683101
       5.500000       1.018159       0.941811       1.684951
       5.510000       1.007997       0.947701       1.686973
       5.520000       0.998776       0.952410       1.689136
       5.530000       0.989872       0.955699       1.691388
       5.540000       0.980622       0.957862       1.693681
       5.550000       0.970352       0.959789       1.695975
       5.560000       0.958522       0.962599       1.698238
       5.570000       0.944904       0.967111       1.700435
       5.580000       0.929727       0.973459       1.702532
       5.590000       0.913688       0.981035       1.704498
       5.600000       0.897779       0.988723       1.706322
       5.610000       0.883049       0.995357       1.708016
       5.620000       0.870470       1.000239       1.709608
       5.630000       0.860844       1.003431       1.711136
       5.640000       0.854659       1.005626       1.712636
       5.650000       0.851953       1.007686       1.714153
       5.660000       0.852318       1.010143       1.715735
       5.670000       0.855025       1.012981       1.717425
       5.680000       0.859182       1.015813       1.719241
       5.690000       0.863935       1.018296       1.721164
       5.700000       0.868692       1.020457       1.723139
       5.710000       0.873247       1.022719       1.725093
       5.720000       0.877691       1.025663       1.726962
       5.730000       0.882127       1.029687       1.728719
       5.740000       0.886344       1.034758       1.730375
       5.750000       0.889629       1.040429       1.731971
       5.760000       0.890865       1.046069       1.733550
       5.770000       0.888936       1.051075       1.735143
       5.780000       0.883227       1.054879       1.736752
       5.790000       0.873983       1.056907       1.738364
       5.800000       0.862412       1.056719       1.739959
       5.810000       0.850521       1.054298       1.741530
       5.820000       0.840644       1.050241       1.743080
       5.830000       0.834821       1.045648       1.744615
       5.840000       0.834295       1.041751       1.746137
       5.850000       0.839289       1.039518       1.747646
       5.860000       0.849048       1.039464       1.749148
       5.870000       0.862063       1.041689       1.750666
       5.880000       0.876422       1.045995       1.752232
       5.890000       0.890243       1.051963       1.753870
       5.900000       0.902086       1.059036       1.755572
       5.910000       0.911157       1.066575       1.757290
       5.920000       0.917211       1.073880       1.758947
       5.930000       0.920258       1.080177       1.760454
       5.940000       0.920349       1.084741       1.761729
       5.950000       0.917634       1.087172       1.762728
       5.960000       0.912601       1.087647       1.763465
       5.970000       0.906221       1.086887       1.764016
       5.980000       0.899793       1.085783       1.764484
       5.990000       0.894557       1.084891       1.764968
       6.000000       0.891399       1.084207       1.765539
       6.010000       0.890828       1.083352       1.766241
       6.020000       0.893130       1.081984       1.767110
       6.030000       0.898436       1.080156       1.768168
       6.040000       0.906618       1.078421       1.769410
       6.050000       0.917134       1.077602       1.770782
       6.060000       0.929008       1.078374       1.772189
       6.070000       0.941035       1.080960       1.773517
       6.080000       0.952089       1.085104       1.774671
       6.090000       0.961361       1.090201       1.775597
       6.100000       0.968412       1.095458       1.776280
