       2.990000      -1.326676       1.281752       2.012743
       3.000000      -1.299192       1.315842       2.014067
       3.010000      -1.272775       1.350029       2.015318
       3.020000      -1.247568       1.384568       2.016341
       3.030000      -1.223656       1.419431       2.016985
       3.040000      -1.201073       1.454380       2.017132
       3.050000      -1.179838       1.489075       2.016708
       3.060000      -1.159991       1.523200       2.015698
       3.070000      -1.141617       1.556552       2.014138
       3.080000      -1.124841       1.589077       2.012112
       3.090000      -1.109797       1.620850       2.009733
       3.100000      -1.096591       1.651990       2.007148
       3.110000      -1.085268       1.682599       2.004522
       3.120000      -1.075793       1.712742       2.002036
       3.130000      -1.068034       1.742508       1.999865
       3.140000      -1.061740       1.772101       1.998157
       3.150000      -1.056513       1.801920       1.997012
       3.160000      -1.051802       1.832548       1.996470
       3.170000      -1.046923       1.864664       1.996504
       3.180000      -1.041145       1.898887       1.997031
       3.190000      -1.033789       1.935639       1.997920
       3.200000      -1.024330       1.975063       1.999010
       3.210000      -1.012468       2.017021       2.000139
       3.220000      -0.998136       2.061137       2.001167
       3.230000      -0.981475       2.106871       2.002012
       3.240000      -0.962776       2.153580       2.002668
       3.250000      -0.942416       2.200561       2.003205
       3.260000      -0.920799       2.247095       2.003750
       3.270000      -0.898317       2.292476       2.004452
       3.280000      -0.875303       2.336046       2.005435
       3.290000      -0.852014       2.377233       2.006771
       3.300000      -0.828620       2.415569       2.008463
       3.310000      -0.805209       2.450698       2.010452
       3.320000      -0.781809       2.482349       2.012629
       3.330000      -0.758418       2.510309       2.014857
       3.340000      -0.735037       2.534397       2.016992
       3.350000      -0.711692       2.554450       2.018902
       3.360000      -0.688439       2.570298       2.020484
       3.370000      -0.665365       2.581743       2.021677
       3.380000      -0.642572       2.588521       2.022468
       3.390000      -0.620166       2.590301       2.022900
       3.400000      -0.598241       2.586690       2.023070
       3.410000      -0.576859       2.577270       2.023114
       3.420000      -0.556041       2.561635       2.023195
       3.430000      -0.535753       2.539451       2.023467
       3.440000      -0.515914       2.510541       2.024052
       3.450000      -0.496402       2.474988       2.025010
       3.460000      -0.477083       2.433239       2.026337
       3.470000      -0.457833       2.386191       2.027960
       3.480000      -0.438563       2.335256       2.029757
       3.490000      -0.419225       2.282398       2.031575
       3.500000      -0.399818       2.230072       2.033257
       3.510000      -0.380371       2.181029       2.034665
       3.520000      -0.360928       2.137972       2.035692
       3.530000      -0.341532       2.103128       2.036275
       3.540000      -0.322215       2.077884       2.036381
       3.550000      -0.302997       2.062621       2.036009
       3.560000      -0.283892       2.056783       2.035186
       3.570000      -0.264921       2.059146       2.033968
       3.580000      -0.246110       2.068137       2.032456
       3.590000      -0.227492       2.082105       2.030790
       3.600000      -0.209099       2.099488       2.029142
       3.610000      -0.190947       2.118888       2.027696
       3.620000      -0.173030       2.139116       2.026621
       3.630000      -0.155320       2.159248       2.026048
       3.640000      -0.137771       2.178685       2.026048
       3.650000      -0.120332       2.197177       2.026623
       3.660000      -0.102954       2.214773       2.027697
       3.670000      -0.085595       2.231672       2.029131
       3.680000      -0.068215       2.248031       2.030740
       3.690000      -0.050773       2.263790       2.032321
       3.700000      -0.033229       2.278599       2.033679
       3.710000      -0.015543       2.291875       2.034654
       3.720000       0.002312       2.302967       2.035135
       3.730000       0.020345       2.311382       2.035075
       3.740000       0.038547       2.317020       2.034493
       3.750000       0.056889       2.320303       2.033469
       3.760000       0.075325       2.322118       2.032130
       3.770000       0.093802       2.323539       2.030627
       3.780000       0.112261       2.325426       2.029109
       3.790000       0.130643       2.328077       2.027691
       3.800000       0.148889       2.331108       2.026434
       3.810000       0.166944       2.333605       2.025340
       3.820000       0.184764       2.334484       2.024372
       3.830000       0.202312       2.332904       2.023486
       3.840000       0.219569       2.328565       2.022669
       3.850000       0.236534       2.321761       2.021965
       3.860000       0.253229       2.313150       2.021469
       3.870000       0.269697       2.303332       2.021310
       3.880000       0.286003       2.292417       2.021613
       3.890000       0.302220       2.279801       2.022474
       3.900000       0.318415       2.264269       2.023933
       3.910000       0.334636       2.244390       2.025971
       3.920000       0.350895       2.219070       2.028512
       3.930000       0.367169       2.188037       2.031431
       3.940000       0.383398       2.152057       2.034569
       3.950000       0.399488       2.112743       2.037751
       3.960000       0.415325       2.072045       2.040818
       3.970000       0.430778       2.031642       2.043645
       3.980000       0.445717       1.992546       2.046163
       3.990000       0.460027       1.955109       2.048357
       4.000000       0.473628       1.919389       2.050253
       4.010000       0.486490       1.885669       2.051892
       4.020000       0.498643       1.854864       2.053321
       4.030000       0.510183       1.828605       2.054582
       4.040000       0.521254       1.808953       2.055735
       4.050000       0.532027       1.797880       2.056862
       4.060000       0.542671       1.796753       2.058075
       4.070000       0.553336       1.806015       2.059496
       4.080000       0.564150       1.825144       2.061226
       4.090000       0.575225       1.852803       2.063316
       4.100000       0.586674       1.887105       2.065738
       4.110000       0.598605       1.925857       2.068377
       4.120000       0.611121       1.966755       2.071036
       4.130000       0.624292       2.007502       2.073461
       4.140000       0.638150       2.045880       2.075367
       4.150000       0.652672       2.079797       2.076479
       4.160000       0.667796       2.107352       2.076568
       4.170000       0.683429       2.126959       2.075490
       4.180000       0.699467       2.137546       2.073206
       4.190000       0.715809       2.138830       2.069803
       4.200000       0.732364       2.131575       2.065477
       4.210000       0.749059       2.117695       2.060512
       4.220000       0.765834       2.100059       2.055231
       4.230000       0.782640       2.081977       2.049943
       4.240000       0.799431       2.066510       2.044910
       4.250000       0.816156       2.055864       2.040313
       4.260000       0.832757       2.051077       2.036255
       4.270000       0.849168       2.052042       2.032774
       4.280000       0.865310       2.057778       2.029868
       4.290000       0.881099       2.066776       2.027524
       4.300000       0.896445       2.077305       2.025747
       4.310000       0.911256       2.087630       2.024559
       4.320000       0.925435       2.096119       2.024004
       4.330000       0.938881       2.101285       2.024127
       4.340000       0.951490       2.101777       2.024953
       4.350000       0.963169       2.096381       2.026471
       4.360000       0.973852       2.084052       2.028636
       4.370000       0.983522       2.064011       2.031363
       4.380000       0.992211       2.035882       2.034543
       4.390000       0.999993       1.999828       2.038048
       4.400000       1.006965       1.956618       2.041741
       4.410000       1.013245       1.907601       2.045477
       4.420000       1.018996       1.854564       2.049110
       4.430000       1.024463       1.799550       2.052497
       4.440000       1.029996       1.744667       2.055496
       4.450000       1.036027       1.691956       2.057970
       4.460000       1.043006       1.643344       2.059790
       4.470000       1.051313       1.600651       2.060842
       4.480000       1.061188       1.565583       2.061039
       4.490000       1.072712       1.539620       2.060349
       4.500000       1.085824       1.523794       2.058807
       4.510000       1.100370       1.518443       2.056524
       4.520000       1.116153       1.523067       2.053675
       4.530000       1.132974       1.536359       2.050470
       4.540000       1.150664       1.556375       2.047129
       4.550000       1.169092       1.580784       2.043840
       4.560000       1.188167       1.607126       2.040751
       4.570000       1.207810       1.633047       2.037963
       4.580000       1.227941       1.656534       2.035545
       4.590000       1.248449       1.676131       2.033547
       4.600000       1.269190       1.691133       2.032013
       4.610000       1.289983       1.701686       2.030980
       4.620000       1.310613       1.708703       2.030469
       4.630000       1.330837       1.713572       2.030461
       4.640000       1.350401       1.717704       2.030881
       4.650000       1.369059       1.722107       2.031596
       4.660000       1.386612       1.727139       2.032422
       4.670000       1.402963       1.732561       2.033148
       4.680000       1.418171       1.737829       2.033572
       4.690000       1.432503       1.742512       2.033528
       4.700000       1.446438       1.746665       2.032912
       4.710000       1.460620       1.751020       2.031699
       4.720000       1.475753       1.756919       2.029944
       4.730000       1.492472       1.766000       2.027782
       4.740000       1.511235       1.779779       2.025408
       4.750000       1.532278       1.799292       2.023047
       4.760000       1.555628       1.824915       2.020912
       4.770000       1.581154       1.856401       2.019153
       4.780000       1.608638       1.893029       2.017824
       4.790000       1.637829       1.933810       2.016872
       4.800000       1.668482       1.977646       2.016160
       4.810000       1.700372       2.023427       2.015508
       4.820000       1.733292       2.070073       2.014743
       4.830000       1.767045       2.116541       2.013724
       4.840000       1.801430       2.161817       2.012364
       4.850000       1.836228       2.204917       2.010623
       4.860000       1.871192       2.244889       2.008513
       4.870000       1.906037       2.280823       2.006090
       4.880000       1.940416       2.311875       2.003464
       4.890000       1.973906       2.337313       2.000793
       4.900000       2.005977       2.356580       1.998277
       4.910000       2.035971       2.369367       1.996130
